N=10000, K=67, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=68, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=69, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=70, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=71, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=72, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=73, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=74, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=75, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=76, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=77, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=78, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=79, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=80, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=81, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=82, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=83, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=84, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=85, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=86, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=87, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=88, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=89, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=90, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=91, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=92, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=93, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=94, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=95, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=96, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=97, t=[[0.5 0. ],[0.  0.5]]
